Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,YT_View_Count,YT_Like_Count,YT_Comment_Count,YT_Duration_Seconds,Exact_Publish_Date
A Tribe Called Quest: Can I Kick It?,https://www.youtube.com/watch?v=D-uV8TGjaGU,6.0,5.0,5.0,9.0,6.0,3.0,1.0,3.0,8.0,2.0,2.0,3.0,2.0,7.0,6.0,2.0,4.0,8.0,4.0,7.0,2.0,3.0,1.0,2.0,8.0,8.0,5.0,2.0,8.0,8.0,5.0,10.0,2.0,3515904,60484,2711,254,2020-05-15
LDR: The Greatest,https://www.youtube.com/watch?v=mUWOsiwy_1g,3.0,6.0,7.0,7.0,9.0,2.0,7.0,4.0,2.0,6.0,9.0,7.0,5.0,6.0,7.0,2.0,4.0,8.0,2.0,8.0,3.0,5.0,4.0,4.0,6.0,5.0,3.0,7.0,4.0,4.0,7.0,4.0,4.0,52066,701,20,320,2020-01-29
Pixies: Wave of Mutilation,https://www.youtube.com/watch?v=RuHeAs0rw5M,3.0,7.0,4.0,6.0,4.0,1.0,5.0,3.0,7.0,5.0,3.0,6.0,9.0,5.0,6.0,5.0,7.0,3.0,1.0,6.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,6.0,5.0,1.0,3561368,41474,320,124,2020-01-02
Air: Cemetary Party,https://www.youtube.com/watch?v=eLxfYF65Eio,4.0,7.0,2.0,8.0,7.0,2.0,2.0,2.0,5.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,3.0,4.0,6.0,1.0,3.0,6.0,6.0,6.0,1.0,4.0,2.0,3.0,4.0,79187,594,7,157,2019-06-28
The Rolling Stones: Out of Time,https://www.youtube.com/watch?v=B_0TOCR_OIk,5.0,7.0,5.0,8.0,10.0,4.0,5.0,4.0,5.0,5.0,7.0,8.0,7.0,8.0,6.0,4.0,6.0,6.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,7.0,9.0,5.0,5.0,5.0,4.0,1.0,3.0,2857916,23747,1291,204,2019-09-17
Kavinsky: Odd Look,https://www.youtube.com/watch?v=EeEDRqDsj7c,3.0,9.0,1.0,6.0,7.0,1.0,3.0,6.0,6.0,6.0,2.0,2.0,8.0,7.0,3.0,6.0,5.0,3.0,5.0,6.0,5.0,3.0,7.0,6.0,2.0,4.0,6.0,6.0,2.0,2.0,1.0,6.0,1.0,169235,2033,50,291,2013-03-29
McIntosh County Singers: Signs of the Judgement,https://www.youtube.com/watch?v=MBvtK49D9dM,4.0,6.0,7.0,9.0,7.0,3.0,2.0,4.0,7.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,6.0,7.0,7.0,4.0,2.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,1.0,10.0,7.0,124005,2591,13,157,2015-05-19
Traditional: Dominus Vobiscum,https://www.youtube.com/watch?v=F6VxR0JxpUQ,5.0,8.0,6.0,8.0,8.0,6.0,8.0,9.0,9.0,6.0,10.0,3.0,4.0,3.0,6.0,10.0,9.0,7.0,8.0,3.0,5.0,7.0,7.0,6.0,10.0,8.0,8.0,9.0,2.0,9.0,4.0,3.0,10.0,28820,448,33,331,2017-08-25
The White Stripes: Dead Leaves and the Dirty Ground,https://www.youtube.com/watch?v=7OyytKqYjkE,7.0,5.0,5.0,6.0,5.0,1.0,4.0,5.0,6.0,6.0,6.0,9.0,10.0,9.0,8.0,5.0,3.0,6.0,1.0,5.0,3.0,7.0,2.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,3.0,2.0,14228508,98643,3045,188,2009-05-13
Nena: 99 Luftballoons,https://www.youtube.com/watch?v=Fpu5a0Bl8eY,5.0,9.0,4.0,5.0,8.0,3.0,6.0,8.0,7.0,8.0,5.0,8.0,4.0,9.0,8.0,7.0,6.0,8.0,5.0,7.0,2.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,8.0,7.0,5.0,3.0,67349619,618625,0,235,2021-04-24
Bob Seger: Night Moves,https://www.youtube.com/watch?v=xH7cSSKnkL4,8.0,7.0,8.0,6.0,10.0,3.0,7.0,8.0,2.0,7.0,8.0,10.0,9.0,7.0,7.0,4.0,6.0,10.0,2.0,7.0,4.0,9.0,7.0,5.0,7.0,3.0,5.0,6.0,10.0,6.0,7.0,4.0,7.0,47155516,271373,8814,268,2020-07-10
Lauryn Hill: Can't Take My Eyes Off You,https://www.youtube.com/watch?v=wVzvXW9bo5U,6.0,6.0,7.0,7.0,1.0,2.0,6.0,4.0,6.0,8.0,6.0,8.0,5.0,3.0,6.0,1.0,4.0,6.0,4.0,6.0,6.0,8.0,9.0,4.0,7.0,7.0,3.0,8.0,9.0,7.0,3.0,6.0,2.0,72050147,517699,9065,224,2014-02-28
La Roux: Bulletproof,https://www.youtube.com/watch?v=MSkOmSK-PNs,3.0,5.0,5.0,8.0,4.0,3.0,2.0,4.0,3.0,8.0,7.0,1.0,4.0,9.0,9.0,1.0,4.0,10.0,5.0,7.0,8.0,2.0,6.0,3.0,2.0,6.0,7.0,7.0,10.0,7.0,3.0,1.0,4.0,745557,7897,277,212,2024-08-03
Joanna Newsom: Emily,https://www.youtube.com/watch?v=D1lBOA_8OZ0,6.0,3.0,7.0,6.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,2.0,8.0,1.0,2.0,2.0,4.0,6.0,2.0,3.0,5.0,2.0,5.0,2.0,1.0,6.0,625580,9006,30,729,2019-06-03
Fleet Foxes: Mykonos,https://www.youtube.com/watch?v=dPLaDtvVdaU,8.0,8.0,8.0,6.0,8.0,4.0,6.0,7.0,8.0,10.0,9.0,8.0,9.0,5.0,8.0,4.0,6.0,7.0,4.0,8.0,5.0,7.0,3.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0,10.0,8.0,6750200,80735,202,276,2019-03-23
The Beastie Boys: Sabotage,https://www.youtube.com/watch?v=onfTL0-A3EA,5.0,7.0,5.0,9.0,6.0,1.0,6.0,3.0,1.0,7.0,1.0,6.0,10.0,9.0,8.0,4.0,4.0,10.0,6.0,6.0,6.0,4.0,1.0,1.0,5.0,3.0,4.0,4.0,8.0,4.0,7.0,10.0,1.0,16498,93,7,183,2022-06-06
Vivaldi: Winter,https://www.youtube.com/watch?v=TZCfydWF48c,6.0,4.0,9.0,6.0,8.0,10.0,10.0,7.0,7.0,10.0,9.0,7.0,2.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,5.0,8.0,9.0,9.0,10.0,1.0,9.0,10.0,10.0,9.0,25991880,321747,15629,564,2010-09-13
