Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
Pixies: Wave of Mutilation,https://www.youtube.com/watch?v=RuHeAs0rw5M,3.0,7.0,4.0,6.0,4.0,1.0,5.0,3.0,7.0,5.0,3.0,6.0,9.0,5.0,6.0,5.0,7.0,3.0,1.0,6.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,6.0,5.0,1.0
Air: Cemetary Party,https://www.youtube.com/watch?v=eLxfYF65Eio,4.0,7.0,2.0,8.0,7.0,2.0,2.0,2.0,5.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,3.0,4.0,6.0,1.0,3.0,6.0,6.0,6.0,1.0,4.0,2.0,3.0,4.0
The Rolling Stones: Out of Time,https://www.youtube.com/watch?v=B_0TOCR_OIk,5.0,7.0,5.0,8.0,10.0,4.0,5.0,4.0,5.0,5.0,7.0,8.0,7.0,8.0,6.0,4.0,6.0,6.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,7.0,9.0,5.0,5.0,5.0,4.0,1.0,3.0
Kavinsky: Odd Look,https://www.youtube.com/watch?v=EeEDRqDsj7c,3.0,9.0,1.0,6.0,7.0,1.0,3.0,6.0,6.0,6.0,2.0,2.0,8.0,7.0,3.0,6.0,5.0,3.0,5.0,6.0,5.0,3.0,7.0,6.0,2.0,4.0,6.0,6.0,2.0,2.0,1.0,6.0,1.0
McIntosh County Singers: Signs of the Judgement,https://www.youtube.com/watch?v=MBvtK49D9dM,4.0,6.0,7.0,9.0,7.0,3.0,2.0,4.0,7.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,6.0,7.0,7.0,4.0,2.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,1.0,10.0,7.0
Traditional: Dominus Vobiscum,https://www.youtube.com/watch?v=F6VxR0JxpUQ,5.0,8.0,6.0,8.0,8.0,6.0,8.0,9.0,9.0,6.0,10.0,3.0,4.0,3.0,6.0,10.0,9.0,7.0,8.0,3.0,5.0,7.0,7.0,6.0,10.0,8.0,8.0,9.0,2.0,9.0,4.0,3.0,10.0
The White Stripes: Dead Leaves and the Dirty Ground,https://www.youtube.com/watch?v=7OyytKqYjkE,7.0,5.0,5.0,6.0,5.0,1.0,4.0,5.0,6.0,6.0,6.0,9.0,10.0,9.0,8.0,5.0,3.0,6.0,1.0,5.0,3.0,7.0,2.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,3.0,2.0
Nena: 99 Luftballoons,https://www.youtube.com/watch?v=Fpu5a0Bl8eY,5.0,9.0,4.0,5.0,8.0,3.0,6.0,8.0,7.0,8.0,5.0,8.0,4.0,9.0,8.0,7.0,6.0,8.0,5.0,7.0,2.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,8.0,7.0,5.0,3.0
Bob Seger: Night Moves,https://www.youtube.com/watch?v=xH7cSSKnkL4,8.0,7.0,8.0,6.0,10.0,3.0,7.0,8.0,2.0,7.0,8.0,10.0,9.0,7.0,7.0,4.0,6.0,10.0,2.0,7.0,4.0,9.0,7.0,5.0,7.0,3.0,5.0,6.0,10.0,6.0,7.0,4.0,7.0
Lauryn Hill: Can't Take My Eyes Off You,https://www.youtube.com/watch?v=wVzvXW9bo5U,6.0,6.0,7.0,7.0,1.0,2.0,6.0,4.0,6.0,8.0,6.0,8.0,5.0,3.0,6.0,1.0,4.0,6.0,4.0,6.0,6.0,8.0,9.0,4.0,7.0,7.0,3.0,8.0,9.0,7.0,3.0,6.0,2.0
La Roux: Bulletproof,https://www.youtube.com/watch?v=MSkOmSK-PNs,3.0,5.0,5.0,8.0,4.0,3.0,2.0,4.0,3.0,8.0,7.0,1.0,4.0,9.0,9.0,1.0,4.0,10.0,5.0,7.0,8.0,2.0,6.0,3.0,2.0,6.0,7.0,7.0,10.0,7.0,3.0,1.0,4.0
Joanna Newsom: Emily,https://www.youtube.com/watch?v=D1lBOA_8OZ0,6.0,3.0,7.0,6.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,2.0,8.0,1.0,2.0,2.0,4.0,6.0,2.0,3.0,5.0,2.0,5.0,2.0,1.0,6.0
Fleet Foxes: Mykonos,https://www.youtube.com/watch?v=dPLaDtvVdaU,8.0,8.0,8.0,6.0,8.0,4.0,6.0,7.0,8.0,10.0,9.0,8.0,9.0,5.0,8.0,4.0,6.0,7.0,4.0,8.0,5.0,7.0,3.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0,10.0,8.0
The Beastie Boys: Sabotage,https://www.youtube.com/watch?v=onfTL0-A3EA,5.0,7.0,5.0,9.0,6.0,1.0,6.0,3.0,1.0,7.0,1.0,6.0,10.0,9.0,8.0,4.0,4.0,10.0,6.0,6.0,6.0,4.0,1.0,1.0,5.0,3.0,4.0,4.0,8.0,4.0,7.0,10.0,1.0
Vivaldi: Winter,https://www.youtube.com/watch?v=TZCfydWF48c,6.0,4.0,9.0,6.0,8.0,10.0,10.0,7.0,7.0,10.0,9.0,7.0,2.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,5.0,8.0,9.0,9.0,10.0,1.0,9.0,10.0,10.0,9.0
Amy Winehouse: Back to Black,https://www.youtube.com/watch?v=4Q4Gy2Z7xZ0,7.0,5.0,7.0,9.0,5.0,2.0,3.0,8.0,9.0,6.0,7.0,4.0,6.0,4.0,8.0,4.0,5.0,7.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,9.0,5.0,3.0,7.0,4.0
Sacred Harp: Nearer My God to Thee,https://www.youtube.com/watch?v=_CTlxFwXHAs,8.0,7.0,7.0,9.0,9.0,5.0,8.0,6.0,4.0,8.0,8.0,4.0,3.0,6.0,7.0,5.0,8.0,5.0,7.0,9.0,4.0,6.0,10.0,5.0,3.0,5.0,4.0,8.0,3.0,2.0,3.0,4.0,2.0
Leonard Cohen: The Partisan,https://www.youtube.com/watch?v=hs5hOhI4pEE,6.0,8.0,8.0,6.0,6.0,4.0,5.0,7.0,7.0,7.0,2.0,8.0,5.0,6.0,6.0,2.0,5.0,5.0,6.0,7.0,1.0,6.0,3.0,3.0,5.0,3.0,5.0,6.0,4.0,7.0,6.0,8.0,6.0
Muddy Waters: Mannish Boy,https://www.youtube.com/watch?v=bSfqNEvykv0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Monkeys: Ritz to the Rubble,https://www.youtube.com/watch?v=H8bNHRVwzyA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Swift: Cruel Summer,https://www.youtube.com/watch?v=ic8j13piAhQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy Wynette: Stand By Your Man,https://www.youtube.com/watch?v=AM-b8P1yj9w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francois Hardy: La Temps de l'Amour,https://www.youtube.com/watch?v=fCadGsFrj58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abba: Gimme Gimme,https://www.youtube.com/watch?v=-mHMvYn6RVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Aid Kit: Emmylou,https://www.youtube.com/watch?v=PC57z-oDPLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCR: Have You Ever Seen the Rain,https://www.youtube.com/watch?v=bO28lB1uwp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Townes Van Zandt: Pancho and Lefty,https://www.youtube.com/watch?v=zprRZ2wFQD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Stapleton: Tennessee Whiskey,https://www.youtube.com/watch?v=4zAThXFOy2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
